Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
20,8,-9.19086,-43.0657
20,9,-9.23126,-43.0841
21,0,-9.2414,-43.0144
21,1,-9.30285,-42.9274
21,2,-9.14639,-43.0438
21,3,-9.22972,-42.8149
21,4,-9.18223,-43.0789
21,5,-9.30069,-42.841
21,6,-9.29769,-42.7737
21,7,-9.27126,-42.9874
21,8,-9.22378,-42.9901
21,9,-9.18072,-43.0773
22,0,-9.20867,-42.9272
22,1,-9.16174,-43.0178
22,2,-9.2598,-42.909
22,3,-9.33892,-42.9319
22,4,-9.17479,-42.8029
22,5,-9.13232,-42.9584
22,6,-9.22417,-42.9141
22,7,-9.21247,-42.7538
22,8,-9.2983,-42.8202
22,9,-9.24331,-42.7401
23,0,-9.22474,-42.7407
23,1,-9.16479,-42.7466
23,2,-9.22398,-42.8241
23,3,-9.23202,-42.7848
23,4,-9.27147,-42.7767
23,5,-9.21096,-42.744
23,6,-9.24332,-42.7793
23,7,-9.17205,-42.7747
23,8,-9.26843,-42.8313
23,9,-9.16484,-42.7902
24,0,-9.20021,-42.7228
24,1,-9.3119,-42.6759
24,2,-9.22187,-42.694
24,3,-9.16479,-42.8007
24,4,-9.16534,-42.6571
24,5,-9.26229,-42.6393
24,6,-9.20138,-42.4369
24,7,-9.28741,-42.5842
24,8,-9.21632,-42.504
24,9,-9.18645,-42.7353
25,0,-9.20079,-42.6782
25,1,-9.14888,-42.8005
25,2,-9.24275,-42.554
25,3,-9.23164,-42.5714
25,4,-9.2213,-42.6578
25,5,-9.25061,-42.4949
25,6,-9.24217,-42.4624
25,7,-9.21536,-42.6079
25,8,-9.15485,-42.7342
25,9,-9.17055,-42.6501
26,0,-9.3065,-42.3298
26,1,-9.28351,-42.4274
26,2,-9.19887,-42.5923
26,3,-9.35551,-42.4764
26,4,-9.20176,-42.4039
26,5,-9.3293,-42.4126
26,6,-9.1504,-42.5062
26,7,-9.15205,-42.5367
26,8,-9.28869,-42.5376
26,9,-9.3134,-42.565
27,0,-9.23757,-42.2744
27,1,-9.22705,-42.4484
27,2,-9.24657,-42.3943
