Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
22,2,15.7277,-31.0135
22,3,15.4792,-30.7479
22,4,15.6143,-30.5616
22,5,15.7029,-30.8278
22,6,15.6454,-30.6527
22,7,15.7642,-30.8082
22,8,15.6633,-30.6543
22,9,15.7322,-30.6058
23,0,15.7376,-30.9684
23,1,15.7806,-30.8197
23,2,15.6542,-30.8311
23,3,15.5138,-30.588
23,4,15.6098,-31.1465
23,5,15.6601,-30.8597
23,6,15.7177,-30.8254
23,7,15.668,-30.8798
23,8,15.7074,-30.9679
23,9,15.6014,-30.9401
24,0,15.5425,-30.9089
24,1,15.7323,-31.1396
24,2,15.6186,-30.8032
24,3,15.5713,-30.7475
24,4,15.6713,-30.921
24,5,15.7312,-30.9773
24,6,15.6083,-30.9261
24,7,15.671,-31.1104
24,8,15.7578,-31.273
24,9,15.5094,-31.0499
25,0,15.6624,-31.3233
25,1,15.6395,-30.8895
25,2,15.5899,-31.233
25,3,15.6563,-31.2111
25,4,15.6549,-31.378
25,5,15.6466,-31.1507
25,6,15.7954,-31.2631
25,7,15.6649,-31.3052
25,8,15.8941,-31.4503
25,9,15.6619,-31.2229
26,0,15.74,-31.2917
26,1,15.7688,-31.2933
26,2,15.6721,-31.2918
26,3,15.5915,-31.4413
26,4,15.8151,-31.3618
26,5,15.6282,-31.2218
26,6,15.6277,-31.426
26,7,15.7269,-31.439
26,8,15.8057,-31.5643
26,9,15.8392,-31.4526
27,0,15.7968,-31.4189
27,1,15.8578,-31.4765
27,2,15.7432,-31.4548
27,3,15.7006,-31.6343
27,4,15.9808,-31.6515
27,5,15.7932,-31.3869
27,6,15.9125,-31.6098
27,7,15.8273,-31.7517
27,8,15.8945,-31.6471
27,9,15.8385,-31.4912
28,0,15.8464,-31.7302
28,1,15.8078,-31.7124
28,2,16.0377,-31.7404
28,3,15.8986,-31.8929
28,4,15.9637,-31.9159
28,5,15.8912,-31.8124
28,6,15.7599,-31.7
28,7,15.9386,-31.8879
28,8,15.8853,-31.9147
28,9,15.7827,-31.6617
29,0,15.9264,-31.9839
29,1,15.832,-31.9329
29,2,15.8833,-31.9831
29,3,15.8525,-31.9613
29,4,15.9181,-31.9373
29,5,15.8624,-31.7696
29,6,15.9019,-32.1316
29,7,15.8534,-32.1392
29,8,15.921,-32.0659
29,9,15.9438,-32.0861
30,0,15.8605,-32.1762
30,1,15.8812,-31.9667
30,2,15.9604,-32.4346
30,3,15.9459,-32.1021
30,4,15.8144,-32.334
30,5,15.8268,-32.2409
30,6,16.0329,-32.1735
30,7,15.8229,-32.3746
30,8,15.9362,-32.3251
30,9,15.9643,-32.5222
31,0,16.0138,-32.3374
31,1,15.7779,-32.2208
31,2,16.0233,-32.5243
31,3,15.8448,-32.702
31,4,15.9745,-32.7388
31,5,16.0273,-32.304
31,6,15.7946,-32.5021
31,7,15.8549,-32.5109
31,8,15.9546,-32.6254
31,9,15.8988,-32.5887
32,0,15.8685,-32.4968
32,1,15.8193,-32.6529
32,2,15.7568,-32.6089
32,3,15.8609,-32.5764
32,4,15.965,-32.784
32,5,15.8305,-32.5479
32,6,16.0091,-32.8174
32,7,15.8527,-32.6643
32,8,15.8352,-32.6719
32,9,15.9583,-32.8351
33,0,16.0039,-33.0058
33,1,16.0011,-32.8232
33,2,15.9601,-33.2814
33,3,16.0011,-32.8162
33,4,15.8673,-32.9072
33,5,16.0671,-32.9507
33,6,16.0022,-32.9848
33,7,15.9795,-32.8439
33,8,16.1024,-33.0312
33,9,15.9072,-32.8096
34,0,16.0265,-33.1534
34,1,15.9365,-33.0262
34,2,16.0979,-32.9143
34,3,16.123,-33.0266
34,4,15.9948,-33.2242
34,5,15.9351,-32.9587
34,6,16.0361,-33.1743
34,7,16.0255,-33.2533
34,8,16.1623,-33.1003
34,9,16.0963,-33.2924
35,0,16.0435,-33.2042
35,1,16.1984,-33.3889
35,2,16.2042,-33.3772
35,3,15.9678,-33.363
35,4,16.1211,-33.4253
35,5,15.9772,-33.235
35,6,16.1362,-33.3747
35,7,16.1472,-33.4411
35,8,16.0934,-33.266
35,9,16.0323,-33.3912
36,0,16.0487,-33.5356
36,1,16.2297,-33.4602
36,2,16.1093,-33.5954
36,3,16.2092,-33.5225
36,4,16.286,-33.4803
36,5,16.1127,-33.3531
36,6,16.1282,-33.8182
36,7,16.3044,-33.7699
36,8,16.233,-33.4629
36,9,16.0247,-33.4553
37,0,16.1676,-33.843
37,1,16.137,-33.5559
37,2,16.3373,-34.081
37,3,16.333,-33.9126
37,4,16.395,-33.7687
37,5,16.1758,-33.7614
37,6,16.1612,-33.6962
37,7,16.2199,-33.9125
37,8,16.1113,-33.6759
37,9,16.2731,-34.0257
38,0,16.1268,-33.8897
38,1,16.297,-34.1284
38,2,16.3183,-33.943
38,3,16.3244,-33.9522
38,4,16.2907,-33.8975
38,5,16.2407,-33.9536
38,6,16.3439,-34.2501
38,7,16.314,-34.0497
38,8,16.2912,-34.0705
38,9,16.3772,-34.1947
39,0,16.2642,-34.0701
39,1,16.2749,-34.2148
39,2,16.3184,-34.3957
39,3,16.3943,-34.198
39,4,16.3977,-34.4626
39,5,16.5286,-34.2355
39,6,16.4259,-34.0508
39,7,16.3684,-34.3349
39,8,16.4033,-34.2359
39,9,16.5082,-34.4284
40,0,16.3741,-34.3495
40,1,16.5145,-34.1575
