Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
22,3,13.5886,-23.9754
22,4,13.5737,-23.5465
22,5,13.6284,-23.8565
22,6,13.6182,-23.8134
22,7,13.7791,-23.8303
22,8,13.7455,-23.5267
22,9,13.8138,-23.7529
23,0,13.7248,-23.8117
23,1,13.6921,-23.8018
23,2,13.838,-23.6424
23,3,13.8902,-23.7498
23,4,13.7012,-23.6529
23,5,13.9033,-23.4872
23,6,13.9997,-23.9087
23,7,13.965,-23.5947
23,8,13.9105,-23.7149
23,9,14.0205,-23.556
24,0,13.9711,-23.5259
24,1,13.8289,-23.5744
24,2,13.9337,-23.7317
24,3,14.015,-23.7031
24,4,13.9946,-23.6225
24,5,13.8608,-23.7721
24,6,13.882,-23.4815
24,7,13.9185,-23.5618
24,8,14.112,-23.6645
24,9,14.0972,-23.6217
25,0,14.0975,-23.6892
25,1,13.9739,-23.7522
25,2,14.1058,-23.5142
25,3,14.0525,-23.8631
25,4,14.1279,-23.8621
25,5,14.2883,-23.7212
25,6,14.0773,-23.5575
25,7,14.1117,-23.7203
25,8,14.181,-23.7683
25,9,14.1477,-23.7503
26,0,14.0298,-23.5949
26,1,14.182,-23.7983
26,2,13.9956,-23.7364
26,3,14.0909,-23.6845
26,4,14.1812,-23.7741
26,5,14.2394,-23.84
26,6,14.2074,-23.7495
26,7,14.1695,-23.5211
26,8,14.261,-23.8014
26,9,14.1219,-23.701
27,0,14.2846,-23.7337
27,1,14.3227,-23.8048
27,2,14.2746,-23.7416
27,3,14.3256,-23.6802
27,4,14.192,-23.6067
27,5,14.2725,-23.7453
27,6,14.321,-23.7895
27,7,14.1364,-23.7264
27,8,14.3268,-23.8086
27,9,14.3277,-23.6833
28,0,14.328,-23.8412
28,1,14.3464,-23.8291
28,2,14.2927,-23.7071
28,3,14.3787,-23.7567
28,4,14.3226,-23.8344
28,5,14.3544,-23.5161
28,6,14.256,-23.5892
28,7,14.2241,-24.021
28,8,14.4615,-23.7549
28,9,14.3503,-23.8627
29,0,14.3802,-23.9158
29,1,14.435,-23.9797
29,2,14.403,-23.8115
29,3,14.5258,-23.6541
29,4,14.3223,-23.9896
29,5,14.5596,-24.0137
29,6,14.4669,-23.8549
29,7,14.4594,-23.6036
29,8,14.4312,-23.8817
29,9,14.5304,-23.7702
30,0,14.4258,-23.8503
30,1,14.5095,-23.7929
30,2,14.442,-24.2163
30,3,14.5465,-24.0621
30,4,14.618,-23.9622
30,5,14.4666,-24.0821
30,6,14.408,-23.821
30,7,14.6999,-24.0696
30,8,14.5395,-24.1953
30,9,14.7143,-23.9321
31,0,14.7229,-24.0624
31,1,14.6049,-23.7785
31,2,14.7757,-23.9885
31,3,14.7652,-23.8524
31,4,14.7402,-23.8768
31,5,14.7146,-24.1373
31,6,14.7821,-23.8526
31,7,14.6711,-23.9821
31,8,14.7949,-24.0125
31,9,14.757,-24.1809
32,0,14.7268,-24.0795
32,1,14.7479,-24.2568
32,2,14.802,-24.2957
32,3,14.7406,-23.9962
32,4,14.7742,-24.0463
32,5,14.8472,-24.259
32,6,14.7175,-24.1644
32,7,14.844,-24.469
32,8,14.9261,-24.4159
32,9,14.8906,-24.1441
33,0,14.815,-24.2765
33,1,15.0858,-24.2757
33,2,14.8316,-24.2932
33,3,14.858,-24.2679
33,4,14.9457,-24.3297
33,5,14.9619,-24.6255
