Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
20,8,-0.713116,-33.1777
20,9,-0.669487,-33.3574
21,0,-0.675084,-33.2902
21,1,-0.693805,-33.269
21,2,-0.686667,-33.1598
21,3,-0.545127,-33.464
21,4,-0.553262,-33.4727
21,5,-0.638653,-33.2443
21,6,-0.613734,-33.2609
21,7,-0.648955,-33.2391
21,8,-0.713338,-33.1445
21,9,-0.671596,-33.3188
22,0,-0.593453,-33.3255
22,1,-0.657221,-33.3096
22,2,-0.672868,-33.3309
22,3,-0.801556,-33.1971
22,4,-0.632409,-33.4355
22,5,-0.632897,-33.2078
22,6,-0.705771,-33.1346
22,7,-0.565025,-33.4233
22,8,-0.656848,-33.243
22,9,-0.800732,-33.2989
23,0,-0.62391,-33.3794
23,1,-0.679985,-33.3329
23,2,-0.629445,-33.3542
23,3,-0.668913,-33.2796
23,4,-0.635702,-33.3701
23,5,-0.674759,-33.4433
23,6,-0.747799,-33.4281
23,7,-0.646791,-33.2343
23,8,-0.595675,-33.3402
23,9,-0.653679,-33.2144
24,0,-0.537087,-33.4972
24,1,-0.612107,-33.4055
24,2,-0.739307,-33.303
24,3,-0.497627,-33.3768
24,4,-0.610198,-33.2191
24,5,-0.682236,-33.295
24,6,-0.58403,-33.3389
24,7,-0.580963,-33.1886
24,8,-0.817232,-33.2597
24,9,-0.586183,-33.3442
25,0,-0.66856,-33.1832
25,1,-0.657973,-33.3302
25,2,-0.566403,-33.2078
25,3,-0.602179,-33.3569
25,4,-0.661655,-33.3529
25,5,-0.59928,-33.4328
25,6,-0.551534,-33.3728
25,7,-0.643699,-33.4685
25,8,-0.548383,-33.2784
25,9,-0.512779,-33.3855
26,0,-0.621618,-33.3675
26,1,-0.639308,-33.4394
26,2,-0.514108,-33.4772
26,3,-0.507906,-33.4042
26,4,-0.583322,-33.3176
26,5,-0.587063,-33.3263
26,6,-0.580432,-33.3702
26,7,-0.610202,-33.3117
26,8,-0.663277,-33.3887
26,9,-0.441256,-33.3814
27,0,-0.483655,-33.1428
27,1,-0.523099,-33.3894
27,2,-0.544058,-33.4341
27,3,-0.587366,-33.3123
27,4,-0.582341,-33.2724
27,5,-0.653487,-33.3044
27,6,-0.562735,-33.3555
27,7,-0.539981,-33.2717
27,8,-0.523015,-33.4061
27,9,-0.562267,-33.2033
28,0,-0.517287,-33.4228
28,1,-0.510289,-33.2924
28,2,-0.513308,-33.3562
28,3,-0.620064,-33.2851
28,4,-0.550735,-33.1689
28,5,-0.456778,-33.295
28,6,-0.516759,-33.3363
28,7,-0.432093,-33.3462
28,8,-0.386106,-33.2179
28,9,-0.509945,-33.1767
29,0,-0.542693,-33.2246
29,1,-0.450359,-33.2957
29,2,-0.466694,-33.4073
29,3,-0.51318,-33.2426
29,4,-0.553366,-33.295
